Ecoregion,ECO_CODE,state_score,state_score_color,state_certainty,state_certainty_color,pressure_score,pressure_score_color,pressure_certainty,pressure_certainty_color,impact_score,impact_score_color,impact_certainty,impact_certainty_color
North Sea,20025,0.291666667,#f46d43,0.666666667,#a6d96a,0.178571429,#d73027,0.857142857,#1a9850,0.178571429,#d73027,0.857142857,#1a9850
Black Sea,20044,0.191176471,#d73027,0.470588235,#fee08b,0.291666667,#f46d43,0.5,#d9ef8b,0.291666667,#f46d43,0.5,#d9ef8b
Adriatic,20030,0.322916667,#fdae61,0.708333333,#66bd63,0.269230769,#f46d43,0.846153846,#1a9850,0.269230769,#f46d43,0.846153846,#1a9850
Levantine Sea,25032,0.333333333,#fdae61,0.166666667,#d73027,0.477272727,#fee08b,0.545454545,#d9ef8b,0.477272727,#fee08b,0.545454545,#d9ef8b
Baltic Sea,20024,0.176470588,#d73027,1,#006837,0.288461538,#f46d43,0.769230769,#66bd63,0.288461538,#f46d43,0.769230769,#66bd63
South European Atlantic Shelf,20027,0.333333333,#fdae61,0.5,#d9ef8b,0.557692308,#d9ef8b,0.615384615,#a6d96a,0.557692308,#d9ef8b,0.615384615,#a6d96a
Celtic Seas,20026,0.3125,#fdae61,0.25,#f46d43,0.8125,#1a9850,0.75,#66bd63,0.8125,#1a9850,0.75,#66bd63
Western Mediterranean,25035,0.114583333,#d73027,0.541666667,#d9ef8b,0.178571429,#d73027,0.857142857,#1a9850,0.178571429,#d73027,0.857142857,#1a9850
Ionian Sea,25034,0.208333333,#f46d43,0.666666667,#a6d96a,0.269230769,#f46d43,0.846153846,#1a9850,0.269230769,#f46d43,0.846153846,#1a9850
Azores Canaries Madeira,20029,0.270833333,#f46d43,0.083333333,#a50026,0.666666667,#a6d96a,0.666666667,#a6d96a,0.666666667,#a6d96a,0.666666667,#a6d96a
Alboran Sea,25036,0.208333333,#f46d43,0.166666667,#d73027,0.145833333,#d73027,0.416666667,#fee08b,0.145833333,#d73027,0.416666667,#fee08b
Aegean Sea,25031,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
